BlaStork,WhiStork,HB,BlackKite,RedKite,WhiteTE,GriffonV,BlackV,ShortTE,Mar,Hen,Pal,Mon,Goshawk,EurasianSH,LevantSH,CommonBuz,StepBuz,LongLB,RoughLB,LesserSE,GreaterSE,SteppeE,ImperialE,GoldenE,Osprey,CommonKes,RedFF,Merlin,Hobby,Peregrine,EurasianCrane,StockD,WoodP,Roller,TurtleDove,ShortEO,WhiteP,DalmatianP,EgyptianV,BootedE,LesserKes,EleonoraF,LannerF,SakerF,DemCrane,CrestedHB,Hobby/RedFF,Kestrel-SPEC,LargeFALCON,MonPalHen,Buzzard-SPEC,SparrowH-SPEC,Stork-SPEC,SPH/Goshawk,Harrier-SPEC,LargeEAGLE,Falcon-SPEC,MediumRaptor,Raptor-SPEC
BlaStork,WhiStork,HB,BlackKite,RedKite,WhiteTE,GriffonV,BlackV,ShortTE,Mar,Hen,Pal,Mon,Goshawk,EurasianSH,LevantSH,CommonBuz,StepBuz,LongLB,RoughLB,LesserSE,GreaterSE,SteppeE,ImperialE,GoldenE,Osprey,CommonKes,RedFF,Merlin,Hobby,Peregrine,EurasianCrane,StockD,WoodP,Roller,TurtleDove,ShortEO,WhiteP,DalmatianP,EgyptianV,BootedE,LesserKes,EleonoraF,LannerF,SakerF,DemCrane,CrestedHB,Hobby/RedFF,Kestrel-SPEC,LargeFALCON,MonPalHen,Buzzard-SPEC,SparrowH-SPEC,Stork-SPEC,SPH/Goshawk,Harrier-SPEC,LargeEAGLE,Falcon-SPEC,MediumRaptor,Raptor-SPEC
Stork-SPEC,Stork-SPEC,Buzzard-SPEC,MediumRaptor,MediumRaptor,Raptor-SPEC,Raptor-SPEC,Raptor-SPEC,MediumRaptor,Harrier-SPEC,MonPalHen,MonPalHen,MonPalHen,SPH/Goshawk,SPH/Goshawk,SPH/Goshawk,Buzzard-SPEC,Buzzard-SPEC,Buzzard-SPEC,Buzzard-SPEC,LargeEAGLE,LargeEAGLE,LargeEAGLE,LargeEAGLE,LargeEAGLE,Raptor-SPEC,Kestrel-SPEC,Hobby/RedFF,Falcon-SPEC,Hobby/RedFF,LargeFALCON,Crane-SPEC,,,,,,,,Raptor-SPEC,MediumRaptor,Kestrel-SPEC,Falcon-SPEC,LargeFALCON,LargeFALCON,Crane-SPEC,Buzzard-SPEC,Hobby,CommonKes,Per,Mon,HB,EurasianSH,WhiStork,Goshawk,MonPalHen,LesserSE,LargeFALCON,BootedE,BlackKite
,,MediumRaptor,Raptor-SPEC,Raptor-SPEC,,,,Raptor-SPEC,MediumRaptor,Harrier-SPEC,Harrier-SPEC,Harrier-SPEC,Raptor-SPEC,SparrowH-SPEC,SparrowH-SPEC,MediumRaptor,MediumRaptor,MediumRaptor,MediumRaptor,Raptor-SPEC,Raptor-SPEC,Raptor-SPEC,Raptor-SPEC,Raptor-SPEC,,Falcon-SPEC,Falcon-SPEC,Raptor-SPEC,Falcon-SPEC,Falcon-SPEC,,,,,,,,,,Raptor-SPEC,Falcon-SPEC,Raptor-SPEC,Falcon-SPEC,Falcon-SPEC,,MediumRaptor,RedFF,LesserKes,SakerF,Pal,CommonBuz,LevantSH,BlaStork,EurasianSH,Mon,GreaterSE,Per,HB,BootedE
,,Raptor-SPEC,,,,,,,Raptor-SPEC,MediumRaptor,MediumRaptor,MediumRaptor,,Raptor-SPEC,Raptor-SPEC,Raptor-SPEC,Raptor-SPEC,Raptor-SPEC,Raptor-SPEC,,,,,,,Raptor-SPEC,Raptor-SPEC,,Raptor-SPEC,Raptor-SPEC,,,,,,,,,,,Raptor-SPEC,,Raptor-SPEC,Raptor-SPEC,,Raptor-SPEC,Falcon-SPEC,Falcon-SPEC,LannerF,Hen,RoughLB,SPH/Goshawk,,LevantSH,Pal,SteppeE,SakerF,CommonBuz,Buzzard-SPEC
,,,,,,,,,,Raptor-SPEC,Raptor-SPEC,Raptor-SPEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raptor-SPEC,Raptor-SPEC,Falcon-SPEC,Harrier-SPEC,StepBuz,,,SparrowH-SPEC,Hen,ImperialE,LannerF,RoughLB,CommonBuz
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raptor-SPEC,MediumRaptor,CrestedHB,,,Raptor-SPEC,Mar,GoldenE,Hobby/RedFF,StepBuz,CommonKes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raptor-SPEC,LongLB,,,,MediumRaptor,Raptor-SPEC,Hobby,CrestedHB,CrestedHB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MediumRaptor,,,,Raptor-SPEC,,RedFF,LongLB,EleonoraF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raptor-SPEC,,,,,,LesserKes,BlackKite,EurasianSH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonKes,RedKite,Falcon-SPEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EleonoraF,Buzzard-SPEC,GoldenE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merlin,MediumRaptor,Goshawk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raptor-SPEC,Raptor-SPEC,GreaterSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harrier-SPEC,Harrier-SPEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MonPalHen,HB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mon,Hen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pal,Hobby
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hen,Hobby/RedFF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar,ImperialE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LannerF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LargeFALCON
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LesserKes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LesserSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LevantSH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LongLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MediumRaptor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merlin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MonPalHen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RedFF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RedKite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RoughLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SakerF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SparrowH-SPEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPH/Goshawk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StepBuz
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SteppeE
